elev_threshold,elev_unit,n_total,n_total_above_threshold,pct_total_above_threshold,n_land,n_land_above_threshold,pct_land_above_threshold
-11000,m,3732480000,3732480000,100.0,1271851649,1271851649,100.0
-10900,m,3732480000,3732479999,99.99999997320816,1271851649,1271851649,100.0
-10800,m,3732480000,3732479998,99.99999994641632,1271851649,1271851649,100.0
-10700,m,3732480000,3732479786,99.99999426654664,1271851649,1271851649,100.0
-10600,m,3732480000,3732479426,99.99998462148491,1271851649,1271851649,100.0
-10500,m,3732480000,3732478862,99.9999695108882,1271851649,1271851649,100.0
-10400,m,3732480000,3732477934,99.99994464806241,1271851649,1271851649,100.0
-10300,m,3732480000,3732476672,99.9999108367627,1271851649,1271851649,100.0
-10200,m,3732480000,3732475373,99.99987603416496,1271851649,1271851649,100.0
-10100,m,3732480000,3732473605,99.99982866619513,1271851649,1271851649,100.0
-10000,m,3732480000,3732470644,99.99974933556241,1271851649,1271851649,100.0
-9900,m,3732480000,3732466315,99.99963335369513,1271851649,1271851649,100.0
-9800,m,3732480000,3732461430,99.99950247556585,1271851649,1271851649,100.0
-9700,m,3732480000,3732453595,99.99929256151405,1271851649,1271851649,100.0
-9600,m,3732480000,3732441828,99.99897730195474,1271851649,1271851649,100.0
-9500,m,3732480000,3732425252,99.99853320044582,1271851649,1271851649,100.0
-9400,m,3732480000,3732406035,99.99801834169239,1271851649,1271851649,100.0
-9300,m,3732480000,3732381595,99.99736354916838,1271851649,1271851649,100.0
-9200,m,3732480000,3732346914,99.99643438143003,1271851649,1271851649,100.0
-9100,m,3732480000,3732310962,99.99547116126543,1271851649,1271851649,100.0
-9000,m,3732480000,3732273199,99.99445942108196,1271851649,1271851649,100.0
-8900,m,3732480000,3732233765,99.99340291173696,1271851649,1271851649,100.0
-8800,m,3732480000,3732193107,99.9923136091821,1271851649,1271851649,100.0
-8700,m,3732480000,3732149679,99.9911500932356,1271851649,1271851649,100.0
-8600,m,3732480000,3732103134,99.98990306712963,1271851649,1271851649,100.0
-8500,m,3732480000,3732050565,99.98849464699074,1271851649,1271851649,100.0
-8400,m,3732480000,3731993382,99.9869626093107,1271851649,1271851649,100.0
-8300,m,3732480000,3731918133,99.98494655028293,1271851649,1271851649,100.0
-8200,m,3732480000,3731845606,99.98300341863855,1271851649,1271851649,100.0
-8100,m,3732480000,3731769730,99.98097056112826,1271851649,1271851649,100.0
-8000,m,3732480000,3731684680,99.97869191529493,1271851649,1271851649,100.0
-7900,m,3732480000,3731585691,99.97603981802983,1271851649,1271851649,100.0
-7800,m,3732480000,3731474612,99.9730638074417,1271851649,1271851649,100.0
-7700,m,3732480000,3731350972,99.96975126457475,1271851649,1271851649,100.0
-7600,m,3732480000,3731211140,99.96600490826475,1271851649,1271851649,100.0
-7500,m,3732480000,3731060217,99.96196140367799,1271851649,1271851649,100.0
-7400,m,3732480000,3730888305,99.95735556520061,1271851649,1271851649,100.0
-7300,m,3732480000,3730658254,99.95119207604596,1271851649,1271851649,100.0
-7200,m,3732480000,3730330308,99.94240579989712,1271851649,1271851649,100.0
-7100,m,3732480000,3730069197,99.93541015625,1271851649,1271851649,100.0
-7000,m,3732480000,3729789352,99.92791259430727,1271851649,1271851649,100.0
-6900,m,3732480000,3729491782,99.91994014703361,1271851649,1271851649,100.0
-6800,m,3732480000,3729174354,99.91143566743827,1271851649,1271851649,100.0
-6700,m,3732480000,3728797967,99.90135156785837,1271851649,1271851649,100.0
-6600,m,3732480000,3728372422,99.88995043509945,1271851649,1271851649,100.0
-6500,m,3732480000,3727869289,99.87647057720336,1271851649,1271851649,100.0
-6400,m,3732480000,3727195178,99.85840990440673,1271851649,1271851649,100.0
-6300,m,3732480000,3726162934,99.83075419024348,1271851649,1271851649,100.0
-6200,m,3732480000,3724132987,99.77636817879801,1271851649,1271851649,100.0
-6100,m,3732480000,3720212382,99.67132796424897,1271851649,1271851649,100.0
-6000,m,3732480000,3712274476,99.45865687157064,1271851649,1271851649,100.0
-5900,m,3732480000,3699473558,99.11569674854252,1271851649,1271851649,100.0
-5800,m,3732480000,3681547174,98.63541597007888,1271851649,1271851649,100.0
-5700,m,3732480000,3658614351,98.02100348829732,1271851649,1271851649,100.0
-5600,m,3732480000,3628828189,97.2229774573474,1271851649,1271851649,100.0
-5500,m,3732480000,3592162315,96.24063129608196,1271851649,1271851649,100.0
-5400,m,3732480000,3547264117,95.03772604273834,1271851649,1271851649,100.0
-5300,m,3732480000,3493574406,93.59927999614197,1271851649,1271851649,100.0
-5200,m,3732480000,3434694573,92.02178104102366,1271851649,1271851649,100.0
-5100,m,3732480000,3368362616,90.24462598593965,1271851649,1271851649,100.0
