elev_threshold,elev_unit,pct_total_above_threshold,pct_land_above_threshold
-11000,m,100,100
-10900,m,99.9999999612317,100
-10800,m,99.9999999224634,100
-10700,m,99.9999914824412,100
-10600,m,99.9999770378169,100
-10500,m,99.9999540214105,100
-10400,m,99.9999164000227,100
-10300,m,99.9998653952884,100
-10200,m,99.9998129797624,100
-10100,m,99.9997418912273,100
-10000,m,99.9996237856077,100
-9900,m,99.99945520633,100
-9800,m,99.9992597228263,100
-9700,m,99.9989471930317,100
-9600,m,99.9984884994061,100
-9500,m,99.9978661691128,100
-9400,m,99.9971409938712,100
-9300,m,99.9962178273155,100
-9200,m,99.9949347632798,100
-9100,m,99.9936004045581,100
-9000,m,99.9921919576525,100
-8900,m,99.9907220208254,100
-8800,m,99.9892143451996,100
-8700,m,99.9876052168397,100
-8600,m,99.9858776942108,100
-8500,m,99.9839333965507,100
-8400,m,99.9818239683638,100
-8300,m,99.979039915236,100
-8200,m,99.9763487221769,100
-8100,m,99.9735440479917,100
-8000,m,99.9704171416951,100
-7900,m,99.9668327713153,100
-7800,m,99.9628963959482,100
-7700,m,99.9585518292501,100
-7600,m,99.9536941702242,100
-7500,m,99.948435101386,100
-7400,m,99.9424418208466,100
-7300,m,99.9348086006919,100
-7200,m,99.9244490698846,100
-7100,m,99.9156929001941,100
-7000,m,99.9061558390401,100
-6900,m,99.896040655575,100
-6800,m,99.8851807443392,100
-6700,m,99.8723009659551,100
-6600,m,99.8574786689541,100
-6500,m,99.8397917113293,100
-6400,m,99.8162744777352,100
-6300,m,99.7802498296172,100
-6200,m,99.7085497307427,100
-6100,m,99.570172470353,100
-6000,m,99.2835955281435,100
-5900,m,98.8152484036199,100
-5800,m,98.1635659850038,100
-5700,m,97.3312619187466,100
-5600,m,96.2458430645619,100
-5500,m,94.9105426846779,100
-5400,m,93.2996245865426,100
-5300,m,91.4407823641739,100
-5200,m,89.4521951667799,100
-5100,m,87.2488673221281,100
-5000,m,85.0347976573777,100
-4900,m,82.8215546087427,100
-4800,m,80.6490108795969,100
-4700,m,78.5145534274317,100
-4600,m,76.2535372225152,100
-4500,m,73.9586840469597,100
-4400,m,71.555953086457,100
-4300,m,69.0601172841394,100
-4200,m,66.6669366827699,100
-4100,m,64.4332686564971,100
-4000,m,62.3003697901505,100
-3900,m,60.2389840501231,100
-3800,m,58.262219139493,100
-3700,m,56.3786678420264,100
-3600,m,54.5883099335985,100
-3500,m,52.9059043495625,100
-3400,m,51.3786777491951,100
-3300,m,49.9627274039983,100
-3200,m,48.6647130460316,100
-3100,m,47.5245653429098,100
-3000,m,46.5221221124942,100
-2900,m,45.6232070990277,100
-2800,m,44.792667271242,100
-2700,m,44.0296933654287,100
-2600,m,43.3706387254531,100
-2500,m,42.7909176140457,100
-2400,m,42.2537219514425,100
-2300,m,41.7667921575881,100
-2200,m,41.3113266138605,100
-2100,m,40.8677919362404,100
-2000,m,40.4549585906865,100
-1900,m,40.0703985360594,100
-1800,m,39.7046846788739,100
-1700,m,39.3537876150948,100
-1600,m,39.0255773591667,100
-1500,m,38.7156030939362,100
-1400,m,38.4096547383664,100
-1300,m,38.1045211837633,100
-1200,m,37.8154497612951,100
-1100,m,37.5361317342913,100
-1000,m,37.2795069402411,100
-900,m,37.0338941738801,100
-800,m,36.7843100224831,100
-700,m,36.5306353186652,100
-600,m,36.2462391624171,100
-500,m,35.8715364853137,100
-400,m,35.4040835138812,99.9977130069184
-300,m,34.8885373914386,99.9860044346215
-200,m,34.2575280714542,99.9715579358034
-100,m,33.0014077921871,99.9405278997326
0,m,29.1318253894025,99.441801163941
100,m,24.6656465782915,84.4347889206154
200,m,20.8891402522655,71.4970477958512
300,m,17.8690185658002,61.1500351422847
400,m,15.164581273761,51.8847086422752
500,m,12.9938714793703,44.4484261437293
600,m,11.443949705156,39.1402937455691
700,m,10.2695808117193,35.1192148527848
800,m,9.33551309873575,31.9220666930698
900,m,8.53851846350874,29.1965000285231
1000,m,7.75965660555943,26.5311528606836
1100,m,6.99978119235074,23.9300607716035
1200,m,6.28537950190397,21.4845288911255
1300,m,5.70644258362782,19.5045825236838
1400,m,5.22163552331781,17.8474577367273
1500,m,4.81870447543705,16.4706935474851
1600,m,4.47612479117902,15.3017430596888
1700,m,4.17913637341935,14.2887160260085
1800,m,3.91630916717349,13.3925384439994
1900,m,3.67697891093207,12.577174409261
2000,m,3.45636278497617,11.8253055152378
2100,m,3.24733635704034,11.1128190441524
2200,m,3.05147497071341,10.4450324958279
2300,m,2.86853423099721,9.82098692518853
2400,m,2.68441888114348,9.19230123705041
2500,m,2.50026129641135,8.56297475252618
2600,m,2.31460584202914,7.92825010305264
2700,m,2.12571388256316,7.28214917403294
2800,m,1.91649359894091,6.56613215031335
2900,m,1.6884944956336,5.78553909219777
3000,m,1.50035628950261,5.14140492018812
3100,m,1.28383589459179,4.39985485501987
3200,m,1.12347753484584,3.85068211875036
3300,m,1.0078022544155,3.45449151370775
3400,m,0.908487017914556,3.11425349017652
3500,m,0.814578956309112,2.79247325232078
3600,m,0.731660751911827,2.5082999935664
3700,m,0.653508996377803,2.24042844704543
3800,m,0.587371319190886,2.01371366487536
3900,m,0.539903105074043,1.8509919067792
4000,m,0.500240995746844,1.71502374569611
4100,m,0.466398040971303,1.59900037445598
4200,m,0.436582783090893,1.49678477962587
4300,m,0.405018935577561,1.38857255011214
4400,m,0.372439843828665,1.27687925271207
4500,m,0.337740099296468,1.15791475422082
4600,m,0.298482726111795,1.0233242740876
4700,m,0.259218311912996,0.888709654308234
4800,m,0.220429571631326,0.755726335792139
4900,m,0.180239376288522,0.617937280716363
5000,m,0.1389130735308,0.476253271468648
5100,m,0.103259185303508,0.35401678466082
5200,m,0.074586331523884,0.255714107908027
5300,m,0.053053088095024,0.181888965230273
5400,m,0.037197504242055,0.12752915614672
5500,m,0.025800393512989,0.088454924060331
5600,m,0.017674508394172,0.060595870253803
5700,m,0.011852578939596,0.040635774392092
5800,m,0.007710270522306,0.026434146951746
5900,m,0.00489594616239,0.016785424058733
6000,m,0.003067555396933,0.010516908571567
6100,m,0.00192199571012,0.006589433781206
6200,m,0.001212695695578,0.004157646107476
6300,m,0.000774952466749,0.002656872716384
6400,m,0.000509031339511,0.001745179912008
6500,m,0.000348786684054,0.001195791825259
6600,m,0.000250786787257,0.000859805731685
6700,m,0.000182832744449,0.000626829839547
6800,m,0.000136832256244,0.000469120241479
6900,m,0.000103207492348,0.000353839986724
7000,m,7.63390211550657E-05,0.000261723229753
7100,m,5.61429731809682E-05,0.000192482429648
7200,m,4.00914506366545E-05,0.000137450857862
7300,m,2.84848440074326E-05,9.76583830893638E-05
7400,m,2.09523299333617E-05,7.18336622350142E-05
7500,m,1.4412643173825E-05,4.94127834448535E-05
7600,m,9.66853540343573E-06,3.31479271606833E-05
7700,m,6.67576113573564E-06,2.28874006905793E-05
7800,m,4.34880845172473E-06,1.49095990011383E-05
7900,m,2.88066305078482E-06,9.87616065903377E-06
8000,m,1.81705994633274E-06,6.22966853141268E-06
8100,m,1.3295038805651E-06,4.55811515952636E-06
8200,m,7.25642966333173E-07,2.48781839120398E-06
8300,m,2.99191855297479E-07,1.02575927093842E-06
8400,m,1.88364210470166E-07,6.45794100947897E-07
8500,m,7.75365656428536E-08,2.65828930957375E-07
8600,m,0,0
8700,m,0,0
8800,m,0,0
8900,m,0,0
-36000,ft,100,100
-35800,ft,100,100
-35600,ft,99.9999999612317,100
-35400,ft,99.9999998808599,100
-35200,ft,99.9999954896891,100
-35000,ft,99.9999856822288,100
-34800,ft,99.9999781270887,100
-34600,ft,99.9999685071292,100
-34400,ft,99.9999489873267,100
-34200,ft,99.9999262535777,100
-34000,ft,99.9998987135477,100
-33800,ft,99.9998664873954,100
-33600,ft,99.9998341581567,100
-33400,ft,99.9998019272257,100
-33200,ft,99.9997578740628,100
-33000,ft,99.9996966000799,100
-32800,ft,99.999615998863,100
-32600,ft,99.9995149588472,100
-32400,ft,99.9994107304936,100
-32200,ft,99.9992913436818,100
-32000,ft,99.9991377874455,100
-31800,ft,99.998913137702,100
-31600,ft,99.9986394914484,100
-31400,ft,99.9983295026082,100
-31200,ft,99.9979371120852,100
-31000,ft,99.9975064205327,100
-30800,ft,99.997033651417,100
-30600,ft,99.9964765545998,100
-30400,ft,99.9958443811718,100
-30200,ft,99.9949961708529,100
-30000,ft,99.9941674613368,100
-29800,ft,99.9933664287928,100
-29600,ft,99.9925126881364,100
-29400,ft,99.9916232889882,100
-29200,ft,99.9907232264435,100
-29000,ft,99.989829670453,100
-28800,ft,99.9888656469451,100
-28600,ft,99.9878987065484,100
-28400,ft,99.9868488899047,100
-28200,ft,99.985786024008,100
-28000,ft,99.9846110100112,100
-27800,ft,99.9833991790185,100
-27600,ft,99.9821083781414,100
-27400,ft,99.9804530538456,100
-27200,ft,99.978766039467,100
-27000,ft,99.9771199561585,100
-26800,ft,99.9755018779199,100
-26600,ft,99.9737568963148,100
-26400,ft,99.9719242635012,100
-26200,ft,99.9699094166724,100
-26000,ft,99.9677654078391,100
-25800,ft,99.9654286646394,100
-25600,ft,99.9629955560255,100
-25400,ft,99.96041055331,100
-25200,ft,99.957608742292,100
-25000,ft,99.9546777774752,100
-24800,ft,99.9516082381633,100
-24600,ft,99.9483200620115,100
-24400,ft,99.9447508260969,100
-24200,ft,99.9409292946188,100
-24000,ft,99.93662744519,100
-23800,ft,99.9294477997181,100
-23600,ft,99.9238363817915,100
-23400,ft,99.9185453152758,100
-23200,ft,99.9130044683194,100
-23000,ft,99.9071623561501,100
-22800,ft,99.9011059349423,100
-22600,ft,99.8948137554622,100
-22400,ft,99.8882757671875,100
-22200,ft,99.8809574594708,100
-22000,ft,99.8730049104054,100
-21800,ft,99.8643695767319,100
-21600,ft,99.8547730824044,100
-21400,ft,99.8440707791556,100
-21200,ft,99.8317409555678,100
-21000,ft,99.8163302752173,100
-20800,ft,99.7968280793363,100
-20600,ft,99.7687114372765,100
-20400,ft,99.7241332543945,100
-20200,ft,99.6590880558895,100
-20000,ft,99.5619104433465,100
-19800,ft,99.4048680232053,100
-19600,ft,99.1777199800387,100
-19400,ft,98.8882915734212,100
-19200,ft,98.5238963662718,100
-19000,ft,98.0981527893338,100
-18800,ft,97.6113620009281,100
-18600,ft,97.0167223427164,100
-18400,ft,96.3412269546248,100
-18200,ft,95.5627668839155,100
-18000,ft,94.7047836804287,100
-17800,ft,93.7354707209474,100
-17600,ft,92.649831423058,100
-17400,ft,91.4994622036167,100
-17200,ft,90.3201255810126,100
-17000,ft,89.0429836465549,100
-16800,ft,87.7054439868039,100
-16600,ft,86.3372807722099,100
-16400,ft,84.9908934959746,100
-16200,ft,83.6351828344712,100
-16000,ft,82.2994729303264,100
-15800,ft,80.9733851981262,100
-15600,ft,79.6715824713157,100
-15400,ft,78.3636815414781,100
-15200,ft,76.9824347356883,100
-15000,ft,75.6215834023689,100
-14800,ft,74.2171762375685,100
-14600,ft,72.7704198438303,100
-14400,ft,71.2870822186649,100
-14200,ft,69.7638515990566,100
-14000,ft,68.2558739746827,100
-13800,ft,66.8074758680351,100
-13600,ft,65.4225574961671,100
-13400,ft,64.0888842603125,100
-13200,ft,62.7886150514774,100
-13000,ft,61.5081631323033,100
-12800,ft,60.2598458811585,100
-12600,ft,59.0515990168637,100
-12400,ft,57.858387553815,100
-12200,ft,56.710346813987,100
-12000,ft,55.6034651894692,100
-11800,ft,54.517591955444,100
-11600,ft,53.4782034111824,100
-11400,ft,52.4970684594742,100
-11200,ft,51.5721580009574,100
-11000,ft,50.6889717924549,100
-10800,ft,49.8421056417962,100
-10600,ft,49.0438658595218,100
-10400,ft,48.2919811161253,100
-10200,ft,47.6117299425564,100
-10000,ft,46.99033281409,100
-9800,ft,46.3961007652037,100
-9600,ft,45.8463441007127,100
-9400,ft,45.3309890143031,100
-9200,ft,44.8260799410442,100
-9000,ft,44.3427347050871,100
-8800,ft,43.9046796829174,100
-8600,ft,43.5039707696176,100
-8400,ft,43.1306337608115,100
-8200,ft,42.7852011682644,100
-8000,ft,42.4545036406217,100
-7800,ft,42.1369927689574,100
-7600,ft,41.8419722508043,100
-7400,ft,41.561519704116,100
-7200,ft,41.2837016899043,100
-7000,ft,41.0100937355907,100
-6800,ft,40.7505398965576,100
-6600,ft,40.5019380744487,100
-6400,ft,40.2573616109171,100
-6200,ft,40.0303764640511,100
-6000,ft,39.807459256856,100
-5800,ft,39.5868096656281,100
-5600,ft,39.3746889107856,100
-5400,ft,39.1721066352648,100
-5200,ft,38.974502593193,100
-5000,ft,38.788709529231,100
-4800,ft,38.602555415653,100
-4600,ft,38.4160840459922,100
-4400,ft,38.2272901408678,100
-4200,ft,38.045299961796,100
-4000,ft,37.8705739682744,100
-3800,ft,37.6934335170023,100
-3600,ft,37.527504217198,100
-3400,ft,37.3714053695891,100
-3200,ft,37.2139078174688,100
