Lake Name,Country,Area (km^2),ETOPO_Tile(s)
Laguna Merin,Uruguay,4500,S45W060
Selawik,United States,1050,N60W165
Baker,Canada,1887,N60W105
Superior,United States,82103,"N45W105, N45W090"
Michigan,United States,58030,"N45W090, N30W090"
Huron,United States,59600,"N45W090, N30W090"
Erie,United States,25740,N30W090
Ontario,United States,18960,N30W090
Bras d’Or,Canada,1100,N45W075
Melville,Canada,3069,"N45W075, N45W060"
Baikal,Russia,31722,"N45E105, N45E090"
Caspian Sea,(various),371000,"N45E045, N30E045"
Okeechobee,United States,1890,N15W090
