,name,is_active,rank,dset_id,vdatum_name,vdatum_epsg
0,AW3D30,False,0.0,9,EGM96,5773
1,ArcticDEM,False,1.0,4,WGS84,4326
2,BedMachine,False,0.0,8,,0
3,CUDEM,False,0.0,7,,0
4,CUDEM_AmericanSamoa,True,4.0,8,ASVD02,6643
5,CUDEM_CONUS,True,4.0,7,NAVD88,5703
6,CUDEM_Guam,True,4.0,9,GUVD04,6644
7,CUDEM_Hawaii,True,4.0,10,MSL,5174
8,CUDEM_PRVI,True,4.0,11,PRVD02,6641
9,CoastalDEM,False,0.0,14,,0
10,CopernicusDEM,True,1.0,2,EGM2008,3855
11,EMODnet,False,0.0,11,MSL,5714
12,ETOPO1,False,0.0,-1,msl,5714
13,FABDEM,True,3.0,3,EGM2008,3855
14,GEBCO,True,0.1,1,MSL,5714
15,GLOBathy,False,11.0,0,,0
16,NASADEM,False,0.0,12,EGM96,5773
17,REMA,False,0.0,5,WGS84,4326
18,TanDEMX,True,2.0,13,WGS_84(G1150),7660
19,global_lakes,False,0.0,0,,0
